,,aret_1d,aret_5d,aret_20d
micro|SC 13D,N,11.0,11.0,10.0
micro|SC 13D,mean,0.008300963751336134,0.049024970130551446,0.17527585804019385
micro|SC 13D,median,-0.012088567784031334,-0.10322323872641437,-0.010357672608932
micro|SC 13D,stdev,0.16864327126828801,0.47996962091729517,0.4712920643947494
micro|SC 13D,hit_%_>0,36.36363636363637,27.27272727272727,40.0
micro|SC 13D,p25,-0.07943493906327292,-0.12974609858291758,-0.07443784637551187
micro|SC 13D,p75,0.008431432719387622,0.0028565581802064144,0.15187660817961002
micro|SC 13D/A,N,69.0,69.0,61.0
micro|SC 13D/A,mean,-0.010967981071095843,-0.03512011466860985,0.0033642911193483955
micro|SC 13D/A,median,-0.005028626427475147,-0.02198727101862552,-0.013578570687112879
micro|SC 13D/A,stdev,0.1296358809298625,0.14621637622181033,0.26394736488444803
micro|SC 13D/A,hit_%_>0,42.028985507246375,30.434782608695656,44.26229508196721
micro|SC 13D/A,p25,-0.029823720202259207,-0.07129397579534846,-0.09050615993677769
micro|SC 13D/A,p75,0.017148309102291703,0.021375296034933378,0.074333369788676
micro|SC 13G,N,17.0,17.0,16.0
micro|SC 13G,mean,-0.016145683086422412,-0.03863300847883812,-0.003337182805724502
micro|SC 13G,median,-0.011097699148259421,-0.011503242565239824,-0.04720622065967467
micro|SC 13G,stdev,0.0656024702998935,0.16048932461476378,0.32131811304479496
micro|SC 13G,hit_%_>0,41.17647058823529,41.17647058823529,37.5
micro|SC 13G,p25,-0.06187930329525093,-0.12186025906999565,-0.15339873242045413
micro|SC 13G,p75,0.044520269441284954,0.03326731963458174,0.06412428482994983
micro|SC 13G/A,N,24.0,24.0,22.0
micro|SC 13G/A,mean,0.011128718101176785,-0.0036557887017708846,-0.04243656280107696
micro|SC 13G/A,median,0.0031172508452114722,-0.06320633041066276,-0.07529709172041726
micro|SC 13G/A,stdev,0.09780010896504153,0.20345473690721533,0.22407669606253772
micro|SC 13G/A,hit_%_>0,62.5,41.66666666666667,40.909090909090914
micro|SC 13G/A,p25,-0.031124381416411218,-0.10431543198520327,-0.20016741473955937
micro|SC 13G/A,p75,0.026950444158358344,0.012087366132345734,0.11369651343538267
mid_large|SC 13D,N,5.0,5.0,3.0
mid_large|SC 13D,mean,-0.008150244598608292,-0.061799827546463695,0.004173471314220634
mid_large|SC 13D,median,-0.006196566737750264,-0.06363174581081077,0.02423900672378987
mid_large|SC 13D,stdev,0.01617022050139801,0.05122550468771988,0.03907388410511526
mid_large|SC 13D,hit_%_>0,20.0,0.0,66.66666666666666
mid_large|SC 13D,p25,-0.020768277646226352,-0.07788224962835422,-0.008308710028892885
mid_large|SC 13D,p75,-0.0013496336179796842,-0.02032674481451957,0.02668842036211877
mid_large|SC 13D/A,N,103.0,104.0,89.0
mid_large|SC 13D/A,mean,-0.006664895645662637,-0.020151257320993363,-0.010398144200855214
mid_large|SC 13D/A,median,-0.004975018894143091,-0.017520329730810358,-0.011541687694340164
mid_large|SC 13D/A,stdev,0.03392668120085242,0.07039357485882641,0.10587255838722359
mid_large|SC 13D/A,hit_%_>0,33.980582524271846,26.923076923076923,37.07865168539326
mid_large|SC 13D/A,p25,-0.011535008770430455,-0.03864048346652038,-0.0723650019744081
mid_large|SC 13D/A,p75,0.004420386322229075,0.0008203769820385731,0.03183140301772314
mid_large|SC 13G,N,33.0,33.0,26.0
mid_large|SC 13G,mean,0.011826594888849941,0.031086376854594058,0.20654938398807426
mid_large|SC 13G,median,0.0013114847859300172,0.003602605470877873,0.0022454790928573276
mid_large|SC 13G,stdev,0.09341096021605365,0.1672569836909938,0.9762779294213481
mid_large|SC 13G,hit_%_>0,51.515151515151516,54.54545454545454,50.0
mid_large|SC 13G,p25,-0.015799865606964447,-0.028448937883712277,-0.038779672700691464
mid_large|SC 13G,p75,0.0063993570917726394,0.04250767451494408,0.04723939097732727
mid_large|SC 13G/A,N,57.0,57.0,53.0
mid_large|SC 13G/A,mean,-0.002178516997107004,-0.004530447311884596,0.03257001370241884
mid_large|SC 13G/A,median,-0.004903452584312573,-0.01496270434557978,-0.03660706494603705
mid_large|SC 13G/A,stdev,0.0339011501846931,0.08803425481871822,0.2617727460684755
mid_large|SC 13G/A,hit_%_>0,47.368421052631575,33.33333333333333,37.735849056603776
mid_large|SC 13G/A,p25,-0.02021269804575221,-0.046083011055948364,-0.08430172843994366
mid_large|SC 13G/A,p75,0.013973213260952133,0.010817450936351114,0.03691593142621852
unknown|SC 13D,N,1.0,1.0,1.0
unknown|SC 13D,mean,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,median,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,stdev,,,
unknown|SC 13D,hit_%_>0,100.0,100.0,100.0
unknown|SC 13D,p25,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D,p75,0.0005520393197091522,0.012709220780169228,0.1197416202153252
unknown|SC 13D/A,N,3.0,3.0,2.0
unknown|SC 13D/A,mean,-0.0035578164527605796,0.004749812388754826,0.02283163665818788
unknown|SC 13D/A,median,-0.0025025762672611362,0.010913367712812039,0.02283163665818788
unknown|SC 13D/A,stdev,0.0035285055282155186,0.011096953745502302,0.0036624308992812007
unknown|SC 13D/A,hit_%_>0,0.0,66.66666666666666,100.0
unknown|SC 13D/A,p25,-0.00499806057041835,0.0014262813737010993,0.02153677179593344
unknown|SC 13D/A,p75,-0.0015899522423530876,0.011155121065837159,0.024126501520442323
unknown|SC 13G/A,N,1.0,1.0,1.0
unknown|SC 13G/A,mean,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,median,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,stdev,,,
unknown|SC 13G/A,hit_%_>0,0.0,0.0,0.0
unknown|SC 13G/A,p25,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
unknown|SC 13G/A,p75,-0.02273092451243286,-0.05916587542944529,-0.0395469906150725
